Parameters: 13,384,746
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[1/610] 	| 13.09 | 37.93 | 14.48 | 39.98 |
[2/610] 	| 16.28 | 43.87 | 21.33 | 50.10 |
[3/610] 	| 20.84 | 52.85 | 24.21 | 58.93 |
[4/610] 	| 23.38 | 56.81 | 26.09 | 58.73 |
[5/610] 	| 25.50 | 59.15 | 24.31 | 60.81 |
[6/610] 	| 26.79 | 61.61 | 28.17 | 63.69 |
[7/610] 	| 27.67 | 63.10 | 29.66 | 63.29 |
[8/610] 	| 29.63 | 64.02 | 32.14 | 65.77 |
[9/610] 	| 30.38 | 64.40 | 32.44 | 67.36 |
[10/610] 	| 31.64 | 65.84 | 33.13 | 64.88 |
[11/610] 	| 32.30 | 66.79 | 27.98 | 63.89 |
[12/610] 	| 33.74 | 67.65 | 38.00 | 69.64 |
[13/610] 	| 34.88 | 68.96 | 37.30 | 70.93 |
[14/610] 	| 34.79 | 69.45 | 36.21 | 69.84 |
[15/610] 	| 35.30 | 70.00 | 37.70 | 70.34 |
[16/610] 	| 36.49 | 70.28 | 36.81 | 71.73 |
[17/610] 	| 35.88 | 70.66 | 40.48 | 72.12 |
[18/610] 	| 37.91 | 71.67 | 37.80 | 70.73 |
[19/610] 	| 37.93 | 72.13 | 34.62 | 69.54 |
[20/610] 	| 39.39 | 72.48 | 41.07 | 73.21 |
[21/610] 	| 38.72 | 73.10 | 38.69 | 72.62 |
[22/610] 	| 39.95 | 73.83 | 34.42 | 69.35 |
[23/610] 	| 39.89 | 73.63 | 38.69 | 72.22 |
[24/610] 	| 40.67 | 73.33 | 41.67 | 73.71 |
[25/610] 	| 41.10 | 74.35 | 40.58 | 73.61 |
[26/610] 	| 41.53 | 74.30 | 38.39 | 72.72 |
[27/610] 	| 41.37 | 75.50 | 41.07 | 73.31 |
[28/610] 	| 42.09 | 75.86 | 39.88 | 74.80 |
[29/610] 	| 42.29 | 75.38 | 43.85 | 74.21 |
[30/610] 	| 42.56 | 75.52 | 44.94 | 75.40 |
[31/610] 	| 43.51 | 76.02 | 42.16 | 75.30 |
[32/610] 	| 43.10 | 76.65 | 44.44 | 77.18 |
[33/610] 	| 43.39 | 76.43 | 43.55 | 76.49 |
[34/610] 	| 43.78 | 76.77 | 41.57 | 77.18 |
[35/610] 	| 43.32 | 76.52 | 42.56 | 75.00 |
[36/610] 	| 44.67 | 76.58 | 43.65 | 76.29 |
[37/610] 	| 45.15 | 77.07 | 44.94 | 75.00 |
[38/610] 	| 44.27 | 77.34 | 43.15 | 74.80 |
[39/610] 	| 43.69 | 77.20 | 41.96 | 74.31 |
[40/610] 	| 44.88 | 77.30 | 45.44 | 78.77 |
[41/610] 	| 45.02 | 77.98 | 46.23 | 76.98 |
[42/610] 	| 46.29 | 77.20 | 46.33 | 76.19 |
[43/610] 	| 45.33 | 77.77 | 42.06 | 77.98 |
[44/610] 	| 46.09 | 78.21 | 47.02 | 78.47 |
[45/610] 	| 46.16 | 78.06 | 44.84 | 77.88 |
[46/610] 	| 46.00 | 77.52 | 48.51 | 79.07 |
[47/610] 	| 47.13 | 78.69 | 47.72 | 77.88 |
[48/610] 	| 46.37 | 78.45 | 46.83 | 76.98 |
[49/610] 	| 46.45 | 78.63 | 43.65 | 76.49 |
[50/610] 	| 48.08 | 79.18 | 46.83 | 80.26 |
[51/610] 	| 47.36 | 79.04 | 47.92 | 78.47 |
[52/610] 	| 48.21 | 78.98 | 49.31 | 78.67 |
[53/610] 	| 48.20 | 79.70 | 45.93 | 79.46 |
[54/610] 	| 47.82 | 78.71 | 46.73 | 78.17 |
[55/610] 	| 48.82 | 79.33 | 48.51 | 78.97 |
[56/610] 	| 48.32 | 79.01 | 48.12 | 80.56 |
[57/610] 	| 48.69 | 79.74 | 48.71 | 79.37 |
[58/610] 	| 49.70 | 80.32 | 46.92 | 78.67 |
[59/610] 	| 49.20 | 79.34 | 49.60 | 79.46 |
[60/610] 	| 50.00 | 79.95 | 49.50 | 78.97 |
[61/610] 	| 50.66 | 80.10 | 52.88 | 79.66 |
[62/610] 	| 50.57 | 80.55 | 48.12 | 78.77 |
[63/610] 	| 50.41 | 80.85 | 51.39 | 79.56 |
[64/610] 	| 50.93 | 80.26 | 51.79 | 79.96 |
[65/610] 	| 50.97 | 80.45 | 50.60 | 79.07 |
[66/610] 	| 51.56 | 80.84 | 50.30 | 79.07 |
[67/610] 	| 52.32 | 81.55 | 52.08 | 82.44 |
[68/610] 	| 52.47 | 81.71 | 52.78 | 81.25 |
[69/610] 	| 52.45 | 81.35 | 51.69 | 80.85 |
[70/610] 	| 51.87 | 80.98 | 54.17 | 81.94 |
[71/610] 	| 52.77 | 82.23 | 50.99 | 80.26 |
[72/610] 	| 52.48 | 81.55 | 54.86 | 79.66 |
[73/610] 	| 53.36 | 81.91 | 52.28 | 80.75 |
[74/610] 	| 53.53 | 82.40 | 53.08 | 82.04 |
[75/610] 	| 53.56 | 82.63 | 50.30 | 78.87 |
[76/610] 	| 55.22 | 83.29 | 55.75 | 82.44 |
[77/610] 	| 55.04 | 83.25 | 53.87 | 82.34 |
[78/610] 	| 55.76 | 83.60 | 53.67 | 80.65 |
[79/610] 	| 55.68 | 83.47 | 54.56 | 81.65 |
[80/610] 	| 55.66 | 83.64 | 54.17 | 80.75 |
[81/610] 	| 55.75 | 83.87 | 54.96 | 82.34 |
[82/610] 	| 56.61 | 83.65 | 58.43 | 82.74 |
[83/610] 	| 57.26 | 84.44 | 54.96 | 83.63 |
[84/610] 	| 57.12 | 83.95 | 56.85 | 82.74 |
[85/610] 	| 58.31 | 85.36 | 55.26 | 82.34 |
[86/610] 	| 57.30 | 84.13 | 55.85 | 82.04 |
[87/610] 	| 57.84 | 85.39 | 58.33 | 82.94 |
[88/610] 	| 57.24 | 84.72 | 55.95 | 82.74 |
[89/610] 	| 57.63 | 84.91 | 54.56 | 80.65 |
[90/610] 	| 58.27 | 85.31 | 56.05 | 83.53 |
[91/610] 	| 59.39 | 85.70 | 58.33 | 83.23 |
[92/610] 	| 58.99 | 85.72 | 55.65 | 83.04 |
[93/610] 	| 59.12 | 85.88 | 56.85 | 83.23 |
[94/610] 	| 58.27 | 84.39 | 56.94 | 83.23 |
[95/610] 	| 59.36 | 85.41 | 56.35 | 84.33 |
[96/610] 	| 59.74 | 85.62 | 59.03 | 83.83 |
[97/610] 	| 60.50 | 85.83 | 59.72 | 84.82 |
[98/610] 	| 60.56 | 85.98 | 58.33 | 84.92 |
[99/610] 	| 60.02 | 86.02 | 60.22 | 84.72 |
[100/610] 	| 60.65 | 85.83 | 58.83 | 83.63 |
[101/610] 	| 61.22 | 86.61 | 57.94 | 84.33 |
[102/610] 	| 61.15 | 86.45 | 60.52 | 85.42 |
[103/610] 	| 61.57 | 87.14 | 59.92 | 83.83 |
[104/610] 	| 61.41 | 87.27 | 58.83 | 85.12 |
[105/610] 	| 62.24 | 86.99 | 60.52 | 85.42 |
