Parameters: 13,384,746
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[1/610] 	| 13.09 | 37.93 | 14.48 | 39.98 |
[2/610] 	| 15.28 | 41.95 | 20.73 | 51.88 |
[3/610] 	| 20.48 | 53.43 | 26.88 | 58.13 |
[4/610] 	| 23.55 | 56.59 | 25.10 | 59.33 |
[5/610] 	| 25.71 | 59.31 | 24.01 | 61.41 |
[6/610] 	| 27.05 | 61.59 | 28.17 | 62.80 |
[7/610] 	| 28.56 | 63.66 | 32.34 | 65.58 |
[8/610] 	| 30.98 | 64.90 | 32.74 | 67.16 |
[9/610] 	| 32.07 | 66.35 | 33.63 | 68.25 |
[10/610] 	| 33.16 | 66.77 | 34.92 | 68.55 |
[11/610] 	| 34.26 | 68.42 | 30.56 | 66.17 |
[12/610] 	| 34.99 | 69.28 | 36.90 | 71.13 |
[13/610] 	| 35.60 | 70.18 | 37.50 | 71.92 |
[14/610] 	| 35.82 | 69.73 | 34.92 | 68.85 |
[15/610] 	| 36.28 | 70.96 | 37.60 | 70.04 |
[16/610] 	| 37.47 | 72.24 | 38.29 | 71.43 |
[17/610] 	| 37.66 | 72.04 | 40.28 | 72.42 |
[18/610] 	| 38.80 | 73.08 | 38.19 | 72.02 |
[19/610] 	| 39.50 | 73.17 | 37.80 | 70.93 |
[20/610] 	| 39.21 | 73.21 | 39.98 | 73.31 |
[21/610] 	| 40.68 | 74.11 | 38.49 | 71.23 |
[22/610] 	| 40.49 | 73.74 | 38.69 | 73.21 |
[23/610] 	| 40.57 | 74.39 | 40.58 | 72.72 |
[24/610] 	| 41.95 | 75.00 | 41.77 | 75.60 |
[25/610] 	| 42.78 | 75.82 | 40.48 | 74.80 |
[26/610] 	| 42.93 | 75.93 | 40.87 | 73.21 |
[27/610] 	| 42.83 | 76.29 | 38.59 | 74.90 |
[28/610] 	| 43.89 | 76.49 | 40.77 | 75.50 |
[29/610] 	| 44.07 | 76.68 | 41.27 | 77.58 |
[30/610] 	| 44.57 | 77.40 | 46.03 | 78.37 |
[31/610] 	| 45.48 | 77.40 | 42.06 | 75.99 |
[32/610] 	| 45.91 | 78.24 | 43.06 | 76.39 |
[33/610] 	| 45.28 | 78.26 | 42.66 | 77.48 |
[34/610] 	| 46.39 | 78.85 | 42.46 | 75.50 |
[35/610] 	| 46.76 | 79.25 | 46.23 | 77.78 |
[36/610] 	| 47.62 | 79.26 | 42.56 | 75.89 |
[37/610] 	| 47.22 | 79.28 | 42.96 | 77.78 |
[38/610] 	| 47.45 | 79.56 | 44.25 | 77.18 |
[39/610] 	| 48.17 | 79.57 | 45.73 | 77.78 |
[40/610] 	| 48.23 | 79.97 | 46.53 | 79.66 |
[41/610] 	| 48.15 | 80.49 | 44.84 | 77.08 |
[42/610] 	| 48.57 | 79.76 | 44.25 | 76.79 |
[43/610] 	| 48.75 | 80.38 | 45.34 | 78.08 |
[44/610] 	| 48.53 | 80.59 | 46.92 | 81.65 |
[45/610] 	| 49.03 | 81.54 | 48.02 | 79.07 |
[46/610] 	| 49.03 | 80.77 | 47.72 | 80.36 |
[47/610] 	| 49.25 | 81.38 | 49.31 | 78.08 |
[48/610] 	| 49.91 | 81.52 | 47.52 | 80.56 |
[49/610] 	| 50.12 | 81.63 | 47.02 | 79.56 |
[50/610] 	| 51.25 | 81.54 | 47.92 | 80.06 |
[51/610] 	| 50.95 | 81.97 | 47.42 | 79.96 |
[52/610] 	| 50.92 | 81.56 | 48.71 | 80.06 |
[53/610] 	| 50.66 | 81.74 | 47.72 | 79.37 |
[54/610] 	| 50.57 | 81.48 | 49.40 | 79.37 |
[55/610] 	| 51.31 | 82.22 | 48.21 | 80.46 |
[56/610] 	| 51.69 | 82.11 | 49.60 | 79.96 |
[57/610] 	| 52.15 | 82.16 | 48.81 | 79.56 |
[58/610] 	| 52.55 | 82.72 | 48.71 | 79.07 |
[59/610] 	| 52.52 | 82.58 | 46.53 | 79.07 |
[60/610] 	| 51.72 | 82.30 | 45.93 | 78.57 |
[61/610] 	| 51.90 | 82.27 | 47.72 | 79.46 |
[62/610] 	| 51.52 | 82.92 | 49.80 | 79.66 |
[63/610] 	| 51.94 | 82.33 | 49.70 | 80.65 |
[64/610] 	| 50.77 | 81.65 | 48.41 | 79.46 |
[65/610] 	| 51.27 | 82.38 | 46.63 | 79.96 |
[66/610] 	| 52.78 | 83.32 | 50.10 | 80.36 |
[67/610] 	| 52.20 | 81.52 | 46.73 | 77.68 |
[68/610] 	| 50.13 | 81.12 | 47.82 | 78.27 |
[69/610] 	| 51.89 | 82.51 | 49.70 | 79.76 |
[70/610] 	| 52.48 | 82.73 | 51.39 | 81.05 |
[71/610] 	| 52.10 | 82.91 | 47.12 | 79.56 |
[72/610] 	| 51.77 | 82.54 | 47.82 | 79.76 |
[73/610] 	| 51.67 | 81.91 | 47.82 | 78.77 |
[74/610] 	| 53.00 | 82.81 | 49.80 | 79.96 |
[75/610] 	| 52.61 | 82.77 | 50.20 | 78.37 |
[76/610] 	| 53.46 | 83.57 | 47.82 | 81.55 |
[77/610] 	| 52.85 | 83.31 | 50.10 | 80.65 |
[78/610] 	| 53.94 | 82.95 | 51.09 | 78.67 |
[79/610] 	| 53.49 | 82.24 | 50.00 | 79.66 |
[80/610] 	| 53.34 | 83.50 | 48.91 | 80.06 |
[81/610] 	| 53.73 | 83.64 | 51.49 | 79.76 |
[82/610] 	| 54.10 | 83.24 | 50.99 | 82.24 |
[83/610] 	| 54.70 | 83.76 | 49.60 | 82.64 |
[84/610] 	| 54.63 | 83.82 | 49.90 | 79.76 |
[85/610] 	| 53.99 | 83.96 | 49.01 | 81.15 |
[86/610] 	| 54.04 | 83.12 | 50.20 | 79.46 |
[87/610] 	| 54.11 | 84.03 | 52.78 | 80.95 |
[88/610] 	| 54.25 | 83.94 | 51.59 | 80.85 |
[89/610] 	| 53.84 | 84.51 | 50.69 | 81.15 |
[90/610] 	| 54.80 | 84.11 | 51.39 | 81.15 |
[91/610] 	| 53.21 | 83.42 | 50.99 | 80.75 |
[92/610] 	| 53.00 | 82.46 | 46.43 | 76.09 |
[93/610] 	| 54.73 | 83.36 | 49.50 | 81.25 |
[94/610] 	| 53.94 | 83.56 | 52.48 | 82.44 |
[95/610] 	| 55.17 | 84.11 | 54.07 | 81.75 |
[96/610] 	| 53.25 | 82.94 | 50.30 | 82.04 |
[97/610] 	| 54.67 | 83.08 | 50.89 | 81.65 |
[98/610] 	| 52.55 | 82.42 | 50.20 | 81.05 |
[99/610] 	| 54.62 | 83.56 | 54.07 | 83.13 |
[100/610] 	| 53.73 | 83.36 | 54.37 | 82.94 |
[101/610] 	| 54.93 | 84.26 | 52.28 | 81.55 |
[102/610] 	| 53.91 | 83.90 | 52.78 | 83.53 |
[103/610] 	| 56.96 | 85.23 | 51.98 | 80.85 |
[104/610] 	| 56.22 | 84.35 | 52.48 | 80.65 |
[105/610] 	| 55.36 | 84.07 | 52.58 | 81.25 |
