Parameters: 13,384,746
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[1/610] 	| 10.53 | 31.02 | 12.50 | 32.94 |
[2/610] 	| 14.77 | 40.67 | 19.54 | 47.92 |
[3/610] 	| 20.60 | 52.92 | 25.10 | 58.93 |
[4/610] 	| 23.65 | 57.28 | 25.60 | 60.62 |
[5/610] 	| 26.31 | 60.65 | 23.91 | 60.22 |
[6/610] 	| 28.01 | 62.93 | 29.37 | 65.87 |
[7/610] 	| 29.92 | 64.68 | 30.26 | 64.98 |
[8/610] 	| 31.18 | 65.91 | 34.13 | 67.16 |
[9/610] 	| 32.46 | 67.34 | 34.13 | 68.95 |
[10/610] 	| 33.04 | 67.42 | 34.82 | 68.45 |
[11/610] 	| 33.85 | 68.04 | 31.05 | 68.95 |
[12/610] 	| 34.84 | 69.23 | 37.20 | 71.83 |
[13/610] 	| 35.79 | 70.35 | 38.29 | 73.02 |
[14/610] 	| 36.44 | 70.81 | 37.30 | 70.24 |
[15/610] 	| 36.79 | 70.47 | 37.90 | 71.13 |
[16/610] 	| 37.94 | 71.57 | 37.40 | 70.44 |
[17/610] 	| 38.51 | 72.01 | 41.87 | 75.00 |
[18/610] 	| 39.52 | 72.89 | 41.27 | 74.01 |
[19/610] 	| 40.26 | 73.43 | 37.80 | 72.02 |
[20/610] 	| 40.14 | 73.83 | 40.67 | 74.50 |
[21/610] 	| 41.03 | 73.12 | 39.88 | 73.31 |
[22/610] 	| 40.26 | 74.11 | 39.68 | 72.92 |
[23/610] 	| 40.27 | 73.21 | 39.48 | 73.02 |
[24/610] 	| 40.55 | 73.14 | 42.56 | 74.01 |
[25/610] 	| 41.00 | 74.07 | 41.27 | 75.20 |
[26/610] 	| 41.47 | 74.76 | 41.47 | 73.91 |
[27/610] 	| 41.94 | 75.40 | 42.06 | 74.01 |
[28/610] 	| 43.09 | 75.92 | 40.58 | 75.10 |
[29/610] 	| 42.46 | 74.60 | 43.45 | 76.59 |
[30/610] 	| 41.90 | 75.07 | 44.44 | 75.00 |
[31/610] 	| 42.42 | 75.29 | 43.95 | 75.20 |
[32/610] 	| 43.27 | 75.93 | 45.34 | 76.39 |
[33/610] 	| 43.46 | 76.15 | 45.34 | 75.99 |
[34/610] 	| 44.09 | 76.79 | 43.06 | 77.18 |
[35/610] 	| 43.23 | 76.80 | 45.83 | 76.39 |
[36/610] 	| 44.77 | 76.83 | 46.43 | 78.47 |
[37/610] 	| 44.83 | 77.02 | 46.33 | 76.79 |
[38/610] 	| 44.86 | 77.26 | 44.64 | 78.47 |
[39/610] 	| 45.32 | 77.59 | 42.56 | 76.19 |
[40/610] 	| 45.30 | 77.32 | 47.22 | 76.19 |
[41/610] 	| 45.64 | 77.17 | 43.65 | 76.69 |
[42/610] 	| 44.64 | 77.26 | 43.15 | 74.90 |
[43/610] 	| 45.41 | 77.38 | 44.05 | 77.18 |
[44/610] 	| 45.24 | 77.64 | 46.23 | 77.18 |
[45/610] 	| 46.32 | 77.77 | 47.02 | 78.97 |
[46/610] 	| 46.35 | 78.67 | 46.23 | 79.56 |
[47/610] 	| 46.14 | 78.60 | 48.81 | 79.46 |
[48/610] 	| 47.59 | 79.45 | 47.12 | 78.47 |
[49/610] 	| 46.76 | 79.27 | 46.13 | 80.26 |
[50/610] 	| 47.42 | 79.80 | 45.63 | 78.08 |
[51/610] 	| 47.30 | 79.19 | 45.04 | 76.98 |
[52/610] 	| 48.53 | 80.15 | 48.12 | 79.66 |
[53/610] 	| 48.25 | 80.00 | 47.22 | 80.46 |
[54/610] 	| 47.91 | 80.23 | 48.02 | 80.85 |
[55/610] 	| 48.44 | 79.84 | 49.31 | 80.46 |
[56/610] 	| 48.62 | 80.15 | 48.02 | 78.67 |
[57/610] 	| 48.72 | 80.22 | 46.73 | 78.77 |
[58/610] 	| 49.29 | 80.35 | 47.02 | 79.07 |
[59/610] 	| 49.28 | 80.50 | 47.22 | 78.17 |
[60/610] 	| 49.17 | 80.53 | 44.35 | 77.68 |
[61/610] 	| 49.34 | 80.42 | 47.42 | 77.98 |
[62/610] 	| 49.20 | 80.36 | 49.21 | 79.37 |
[63/610] 	| 49.88 | 80.52 | 48.91 | 78.37 |
[64/610] 	| 50.19 | 80.66 | 50.00 | 80.75 |
