Parameters: 32,715,210
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[1/1010] 	| 12.36 | 36.81 | 14.78 | 40.18 |
[2/1010] 	| 16.81 | 45.87 | 24.90 | 59.03 |
[3/1010] 	| 24.08 | 57.10 | 28.87 | 63.00 |
[4/1010] 	| 26.46 | 62.10 | 30.75 | 62.40 |
[5/1010] 	| 29.40 | 63.42 | 30.65 | 66.87 |
[6/1010] 	| 30.74 | 65.36 | 33.43 | 67.86 |
[7/1010] 	| 32.25 | 67.02 | 32.94 | 67.46 |
[8/1010] 	| 32.25 | 68.02 | 32.14 | 68.65 |
[9/1010] 	| 33.44 | 67.80 | 34.23 | 67.46 |
[10/1010] 	| 34.25 | 68.75 | 36.71 | 69.25 |
[11/1010] 	| 35.53 | 70.30 | 36.90 | 70.24 |
[12/1010] 	| 36.24 | 70.50 | 38.19 | 73.41 |
[13/1010] 	| 36.05 | 70.77 | 37.90 | 71.53 |
[14/1010] 	| 37.42 | 71.73 | 35.32 | 70.73 |
[15/1010] 	| 38.40 | 72.33 | 38.79 | 73.02 |
[16/1010] 	| 39.39 | 73.12 | 40.28 | 73.71 |
[17/1010] 	| 39.48 | 72.84 | 41.77 | 73.61 |
[18/1010] 	| 40.94 | 73.87 | 38.99 | 73.31 |
[19/1010] 	| 41.54 | 75.41 | 42.36 | 74.60 |
[20/1010] 	| 41.74 | 74.83 | 42.36 | 77.28 |
[21/1010] 	| 43.17 | 75.86 | 39.98 | 73.31 |
[22/1010] 	| 43.54 | 76.30 | 43.25 | 75.40 |
[23/1010] 	| 43.21 | 76.42 | 43.25 | 77.38 |
[24/1010] 	| 43.65 | 76.35 | 43.95 | 76.59 |
[25/1010] 	| 44.96 | 77.26 | 44.15 | 78.37 |
[26/1010] 	| 45.38 | 77.80 | 42.56 | 76.98 |
[27/1010] 	| 46.19 | 78.75 | 42.36 | 75.10 |
[28/1010] 	| 45.83 | 78.28 | 44.54 | 79.27 |
[29/1010] 	| 45.79 | 78.59 | 42.66 | 77.88 |
[30/1010] 	| 46.07 | 78.69 | 42.46 | 76.88 |
[31/1010] 	| 47.16 | 78.85 | 44.54 | 76.19 |
[32/1010] 	| 47.23 | 79.34 | 47.42 | 80.06 |
[33/1010] 	| 47.10 | 79.52 | 43.55 | 76.98 |
[34/1010] 	| 47.74 | 80.24 | 43.95 | 78.87 |
[35/1010] 	| 47.90 | 80.08 | 47.22 | 77.88 |
[36/1010] 	| 48.75 | 79.96 | 47.62 | 79.86 |
[37/1010] 	| 48.20 | 79.66 | 49.70 | 78.77 |
[38/1010] 	| 48.38 | 80.22 | 47.42 | 81.15 |
[39/1010] 	| 46.05 | 78.07 | 44.54 | 77.88 |
[40/1010] 	| 47.02 | 78.88 | 45.63 | 76.98 |
[41/1010] 	| 48.82 | 80.37 | 47.02 | 78.77 |
[42/1010] 	| 48.90 | 80.46 | 45.14 | 77.98 |
[43/1010] 	| 47.61 | 79.63 | 45.34 | 76.69 |
[44/1010] 	| 47.38 | 79.72 | 44.64 | 77.88 |
[45/1010] 	| 49.63 | 80.68 | 45.14 | 78.77 |
