Parameters: 21,070,385
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[1/1010] 	| 13.30 | 37.81 | 12.20 | 38.59 |
[2/1010] 	| 15.94 | 42.89 | 20.24 | 48.31 |
[3/1010] 	| 20.61 | 50.72 | 24.40 | 57.14 |
[4/1010] 	| 23.74 | 56.54 | 28.27 | 62.50 |
[5/1010] 	| 26.82 | 60.69 | 29.07 | 64.68 |
[6/1010] 	| 28.01 | 61.62 | 27.88 | 65.87 |
[7/1010] 	| 28.86 | 63.01 | 29.96 | 66.27 |
[8/1010] 	| 29.83 | 63.69 | 34.52 | 66.96 |
[9/1010] 	| 30.22 | 63.90 | 33.43 | 68.06 |
[10/1010] 	| 31.25 | 66.08 | 32.34 | 65.18 |
[11/1010] 	| 31.67 | 64.78 | 33.43 | 66.47 |
[12/1010] 	| 32.16 | 67.14 | 34.62 | 69.54 |
[13/1010] 	| 33.63 | 67.27 | 35.02 | 68.35 |
[14/1010] 	| 33.80 | 67.27 | 35.81 | 69.74 |
[15/1010] 	| 35.11 | 69.38 | 35.22 | 70.83 |
[16/1010] 	| 35.53 | 70.01 | 35.12 | 71.73 |
[17/1010] 	| 35.99 | 69.61 | 36.51 | 69.64 |
[18/1010] 	| 36.21 | 69.71 | 38.10 | 70.93 |
[19/1010] 	| 36.89 | 70.81 | 39.68 | 71.73 |
[20/1010] 	| 37.94 | 71.30 | 36.61 | 70.63 |
[21/1010] 	| 39.74 | 72.32 | 39.58 | 74.50 |
[22/1010] 	| 38.62 | 72.43 | 37.80 | 72.32 |
[23/1010] 	| 38.73 | 72.70 | 41.37 | 74.31 |
[24/1010] 	| 40.19 | 73.75 | 39.68 | 73.12 |
[25/1010] 	| 39.60 | 73.20 | 39.98 | 74.40 |
[26/1010] 	| 40.83 | 73.50 | 39.09 | 72.22 |
[27/1010] 	| 41.05 | 73.88 | 42.16 | 76.09 |
[28/1010] 	| 38.56 | 71.49 | 29.76 | 62.40 |
[29/1010] 	| 35.35 | 68.61 | 37.30 | 71.83 |
[30/1010] 	| 38.61 | 72.82 | 40.38 | 74.70 |
[31/1010] 	| 40.91 | 73.23 | 38.49 | 72.02 |
[32/1010] 	| 38.92 | 72.26 | 36.31 | 69.84 |
[33/1010] 	| 39.32 | 72.71 | 36.11 | 70.34 |
[34/1010] 	| 40.55 | 73.94 | 41.27 | 76.19 |
[35/1010] 	| 39.41 | 73.63 | 39.68 | 73.21 |
[36/1010] 	| 40.25 | 73.83 | 42.66 | 74.40 |
[37/1010] 	| 40.26 | 73.97 | 39.29 | 74.60 |
[38/1010] 	| 41.73 | 75.27 | 39.58 | 74.31 |
[39/1010] 	| 42.44 | 76.49 | 40.08 | 74.60 |
[40/1010] 	| 42.38 | 75.10 | 41.77 | 74.11 |
[41/1010] 	| 41.87 | 74.94 | 41.17 | 74.80 |
[42/1010] 	| 44.34 | 76.37 | 39.68 | 73.41 |
[43/1010] 	| 44.08 | 75.82 | 40.67 | 75.79 |
[44/1010] 	| 43.49 | 76.16 | 41.96 | 72.92 |
[45/1010] 	| 43.68 | 76.82 | 41.17 | 73.91 |
[46/1010] 	| 44.64 | 75.87 | 42.16 | 74.90 |
[47/1010] 	| 44.22 | 76.56 | 42.16 | 75.20 |
[48/1010] 	| 44.62 | 76.76 | 42.36 | 75.99 |
[49/1010] 	| 44.18 | 76.35 | 44.05 | 75.69 |
[50/1010] 	| 44.57 | 77.06 | 43.35 | 74.40 |
[51/1010] 	| 44.35 | 77.08 | 41.67 | 76.59 |
[52/1010] 	| 45.81 | 77.81 | 43.65 | 76.29 |
[53/1010] 	| 45.34 | 77.66 | 43.55 | 74.40 |
[54/1010] 	| 46.71 | 78.61 | 41.67 | 76.29 |
[55/1010] 	| 45.27 | 77.67 | 43.06 | 76.39 |
[56/1010] 	| 46.04 | 77.40 | 43.25 | 75.79 |
[57/1010] 	| 45.97 | 78.47 | 39.29 | 73.61 |
[58/1010] 	| 47.32 | 78.35 | 44.54 | 76.98 |
[59/1010] 	| 46.94 | 77.81 | 43.55 | 76.88 |
[60/1010] 	| 45.22 | 77.64 | 43.06 | 76.29 |
[61/1010] 	| 48.18 | 79.20 | 42.76 | 76.98 |
[62/1010] 	| 48.13 | 79.31 | 41.17 | 75.50 |
[63/1010] 	| 47.19 | 79.63 | 42.66 | 77.68 |
