Parameters: 21,070,385
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[1/1010] 	| 13.25 | 37.79 | 12.50 | 39.38 |
[2/1010] 	| 15.18 | 41.61 | 19.25 | 47.42 |
[3/1010] 	| 19.60 | 49.52 | 25.30 | 55.65 |
[4/1010] 	| 22.45 | 55.12 | 27.88 | 60.32 |
[5/1010] 	| 24.89 | 58.80 | 27.28 | 63.79 |
[6/1010] 	| 26.62 | 59.79 | 29.07 | 64.19 |
[7/1010] 	| 27.17 | 60.94 | 30.85 | 65.08 |
[8/1010] 	| 27.77 | 61.70 | 31.55 | 64.19 |
[9/1010] 	| 28.26 | 61.54 | 31.65 | 65.38 |
[10/1010] 	| 29.09 | 63.09 | 29.46 | 62.20 |
[11/1010] 	| 29.42 | 62.70 | 33.83 | 65.97 |
[12/1010] 	| 31.39 | 64.67 | 34.62 | 67.36 |
[13/1010] 	| 31.38 | 65.02 | 34.13 | 67.86 |
[14/1010] 	| 32.40 | 65.62 | 35.32 | 69.05 |
[15/1010] 	| 33.51 | 66.37 | 34.13 | 69.44 |
[16/1010] 	| 33.12 | 67.18 | 34.92 | 70.83 |
[17/1010] 	| 34.55 | 67.73 | 36.81 | 68.95 |
[18/1010] 	| 33.85 | 67.07 | 37.50 | 69.05 |
[19/1010] 	| 34.71 | 68.51 | 36.81 | 71.03 |
[20/1010] 	| 35.02 | 68.29 | 37.80 | 70.14 |
[21/1010] 	| 35.45 | 69.05 | 40.18 | 73.12 |
[22/1010] 	| 36.84 | 69.45 | 35.71 | 70.73 |
[23/1010] 	| 35.95 | 69.60 | 39.98 | 72.12 |
[24/1010] 	| 37.56 | 70.36 | 38.19 | 71.03 |
[25/1010] 	| 36.57 | 69.84 | 38.00 | 71.33 |
[26/1010] 	| 26.36 | 58.14 | 26.39 | 59.23 |
[27/1010] 	| 28.70 | 61.70 | 36.41 | 69.54 |
[28/1010] 	| 32.87 | 65.91 | 35.12 | 67.76 |
[29/1010] 	| 33.24 | 66.68 | 35.81 | 68.95 |
