Parameters: 21,070,385
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[1/1010] 	| 13.51 | 38.10 | 13.49 | 41.17 |
[2/1010] 	| 15.36 | 42.52 | 20.24 | 47.02 |
[3/1010] 	| 19.61 | 49.68 | 25.69 | 58.04 |
[4/1010] 	| 22.60 | 55.33 | 27.88 | 60.42 |
[5/1010] 	| 25.69 | 59.01 | 28.77 | 61.61 |
[6/1010] 	| 27.21 | 60.28 | 28.57 | 63.29 |
[7/1010] 	| 28.31 | 61.58 | 32.04 | 64.88 |
[8/1010] 	| 28.10 | 62.00 | 31.94 | 66.37 |
[9/1010] 	| 28.45 | 62.19 | 32.04 | 65.97 |
[10/1010] 	| 29.77 | 63.30 | 30.85 | 63.99 |
[11/1010] 	| 29.68 | 62.97 | 33.83 | 68.35 |
[12/1010] 	| 30.36 | 64.12 | 33.93 | 66.77 |
[13/1010] 	| 30.72 | 65.27 | 33.33 | 67.66 |
[14/1010] 	| 31.68 | 65.54 | 32.14 | 65.67 |
[15/1010] 	| 33.21 | 66.93 | 34.23 | 69.44 |
[16/1010] 	| 33.31 | 66.11 | 34.23 | 68.75 |
[17/1010] 	| 33.53 | 66.84 | 37.00 | 68.25 |
[18/1010] 	| 33.75 | 66.45 | 38.19 | 69.44 |
[19/1010] 	| 33.08 | 66.54 | 34.52 | 68.85 |
[20/1010] 	| 31.55 | 64.15 | 31.75 | 65.97 |
[21/1010] 	| 33.46 | 66.07 | 25.50 | 55.46 |
[22/1010] 	| 24.32 | 55.62 | 25.69 | 59.72 |
[23/1010] 	| 26.42 | 58.83 | 31.85 | 66.57 |
[24/1010] 	| 27.49 | 60.83 | 31.05 | 63.59 |
[25/1010] 	| 29.37 | 62.90 | 32.74 | 66.96 |
[26/1010] 	| 30.26 | 64.42 | 33.93 | 67.36 |
[27/1010] 	| 31.31 | 64.95 | 34.62 | 67.06 |
[28/1010] 	| 31.33 | 64.45 | 33.83 | 69.44 |
[29/1010] 	| 32.94 | 65.79 | 33.73 | 67.06 |
[30/1010] 	| 31.51 | 64.74 | 33.13 | 70.34 |
[31/1010] 	| 32.58 | 65.64 | 30.65 | 66.27 |
[32/1010] 	| 30.46 | 64.26 | 31.94 | 68.06 |
[33/1010] 	| 31.81 | 66.08 | 33.23 | 68.35 |
[34/1010] 	| 32.26 | 66.06 | 35.91 | 69.64 |
[35/1010] 	| 32.70 | 66.60 | 35.81 | 68.45 |
[36/1010] 	| 32.74 | 66.36 | 36.41 | 69.54 |
[37/1010] 	| 32.91 | 65.57 | 35.12 | 68.25 |
[38/1010] 	| 33.51 | 66.54 | 36.01 | 68.25 |
[39/1010] 	| 33.83 | 66.37 | 35.52 | 68.85 |
[40/1010] 	| 34.31 | 67.34 | 34.82 | 66.96 |
[41/1010] 	| 33.30 | 65.88 | 34.52 | 67.36 |
[42/1010] 	| 33.71 | 66.55 | 34.13 | 66.57 |
[43/1010] 	| 33.29 | 65.87 | 36.61 | 69.54 |
[44/1010] 	| 32.62 | 65.71 | 31.35 | 65.58 |
[45/1010] 	| 33.97 | 66.51 | 35.12 | 66.37 |
[46/1010] 	| 34.52 | 67.70 | 35.12 | 69.15 |
[47/1010] 	| 35.02 | 67.84 | 38.29 | 70.44 |
[48/1010] 	| 35.02 | 68.00 | 36.31 | 70.83 |
[49/1010] 	| 36.04 | 68.82 | 38.10 | 69.44 |
[50/1010] 	| 35.95 | 68.39 | 36.71 | 69.74 |
[51/1010] 	| 36.51 | 67.80 | 38.99 | 71.53 |
[52/1010] 	| 37.37 | 69.41 | 38.99 | 70.93 |
[53/1010] 	| 37.29 | 69.70 | 38.69 | 70.63 |
[54/1010] 	| 36.63 | 68.72 | 35.71 | 67.76 |
[55/1010] 	| 35.94 | 68.45 | 40.48 | 71.73 |
[56/1010] 	| 37.79 | 69.50 | 40.97 | 72.42 |
[57/1010] 	| 38.30 | 70.60 | 37.90 | 71.23 |
[58/1010] 	| 39.41 | 70.73 | 40.58 | 73.61 |
[59/1010] 	| 39.80 | 71.57 | 40.28 | 74.70 |
[60/1010] 	| 40.06 | 71.43 | 42.66 | 73.91 |
[61/1010] 	| 40.78 | 72.12 | 41.77 | 76.59 |
[62/1010] 	| 41.65 | 73.25 | 43.95 | 76.49 |
[63/1010] 	| 40.80 | 72.38 | 43.75 | 75.69 |
[64/1010] 	| 41.13 | 72.58 | 43.15 | 76.09 |
[65/1010] 	| 42.15 | 73.01 | 42.36 | 75.50 |
[66/1010] 	| 42.90 | 74.30 | 46.53 | 75.99 |
[67/1010] 	| 42.85 | 73.87 | 46.53 | 78.08 |
[68/1010] 	| 43.66 | 74.03 | 45.73 | 76.39 |
[69/1010] 	| 43.98 | 74.79 | 48.12 | 76.49 |
