Parameters: 21,070,378
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[1/1010] 	| 13.04 | 38.39 | 13.10 | 41.07 |
[2/1010] 	| 15.76 | 43.35 | 20.14 | 48.71 |
[3/1010] 	| 20.34 | 51.18 | 25.69 | 57.14 |
[4/1010] 	| 23.64 | 57.14 | 27.28 | 61.31 |
[5/1010] 	| 26.96 | 60.18 | 27.98 | 63.39 |
[6/1010] 	| 28.29 | 61.45 | 29.86 | 65.28 |
[7/1010] 	| 28.64 | 63.17 | 29.46 | 62.90 |
[8/1010] 	| 28.58 | 62.94 | 30.95 | 65.18 |
[9/1010] 	| 30.16 | 63.75 | 33.23 | 66.57 |
[10/1010] 	| 30.78 | 65.07 | 29.86 | 63.69 |
[11/1010] 	| 31.43 | 65.39 | 33.83 | 68.06 |
[12/1010] 	| 31.93 | 66.93 | 35.91 | 67.96 |
[13/1010] 	| 32.53 | 67.74 | 33.73 | 68.45 |
[14/1010] 	| 33.03 | 67.60 | 31.75 | 64.88 |
[15/1010] 	| 33.06 | 68.12 | 33.33 | 70.34 |
[16/1010] 	| 34.52 | 68.47 | 34.52 | 70.14 |
[17/1010] 	| 35.78 | 69.43 | 37.00 | 69.94 |
[18/1010] 	| 35.97 | 69.18 | 36.41 | 67.46 |
[19/1010] 	| 35.94 | 69.73 | 37.30 | 70.63 |
[20/1010] 	| 37.59 | 70.85 | 34.23 | 68.95 |
[21/1010] 	| 36.80 | 71.04 | 37.40 | 72.32 |
[22/1010] 	| 37.96 | 72.12 | 37.40 | 70.34 |
[23/1010] 	| 37.69 | 71.74 | 38.69 | 72.72 |
[24/1010] 	| 37.83 | 72.13 | 38.99 | 72.82 |
[25/1010] 	| 37.49 | 72.13 | 38.59 | 70.63 |
[26/1010] 	| 39.28 | 73.10 | 37.90 | 69.15 |
[27/1010] 	| 38.55 | 72.46 | 40.67 | 71.63 |
[28/1010] 	| 40.32 | 74.08 | 36.61 | 72.22 |
[29/1010] 	| 36.22 | 70.54 | 38.00 | 72.02 |
[30/1010] 	| 38.93 | 73.30 | 37.30 | 72.42 |
[31/1010] 	| 40.69 | 73.53 | 39.29 | 74.01 |
[32/1010] 	| 41.01 | 74.70 | 38.00 | 71.33 |
[33/1010] 	| 41.26 | 74.77 | 38.00 | 71.13 |
[34/1010] 	| 42.06 | 74.82 | 42.56 | 75.30 |
[35/1010] 	| 42.17 | 75.92 | 40.28 | 75.20 |
[36/1010] 	| 42.90 | 75.85 | 39.88 | 74.50 |
[37/1010] 	| 43.08 | 75.48 | 40.87 | 72.82 |
[38/1010] 	| 43.12 | 75.48 | 39.09 | 70.44 |
[39/1010] 	| 41.00 | 74.28 | 36.01 | 70.54 |
[40/1010] 	| 40.86 | 73.64 | 39.88 | 72.92 |
[41/1010] 	| 41.80 | 75.10 | 38.69 | 73.21 |
[42/1010] 	| 42.67 | 75.70 | 39.58 | 74.21 |
[43/1010] 	| 43.68 | 76.46 | 41.17 | 76.39 |
[44/1010] 	| 34.52 | 68.02 | 34.62 | 67.26 |
[45/1010] 	| 38.07 | 72.29 | 41.17 | 71.53 |
[46/1010] 	| 42.20 | 74.30 | 40.48 | 74.11 |
[47/1010] 	| 41.57 | 74.62 | 40.48 | 71.73 |
[48/1010] 	| 29.07 | 61.33 | 31.35 | 62.90 |
[49/1010] 	| 32.17 | 66.04 | 37.30 | 69.35 |
[50/1010] 	| 35.93 | 69.81 | 39.09 | 69.44 |
