Parameters: 21,070,378
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[1/1010] 	| 12.73 | 38.13 | 14.48 | 40.38 |
[2/1010] 	| 15.65 | 42.72 | 19.74 | 47.62 |
[3/1010] 	| 19.97 | 50.00 | 23.71 | 53.77 |
[4/1010] 	| 23.29 | 56.12 | 25.20 | 57.14 |
[5/1010] 	| 24.87 | 58.07 | 26.79 | 58.13 |
[6/1010] 	| 26.94 | 60.21 | 30.26 | 63.79 |
[7/1010] 	| 27.37 | 61.39 | 30.85 | 66.67 |
[8/1010] 	| 29.57 | 63.25 | 29.37 | 64.88 |
[9/1010] 	| 30.37 | 64.00 | 31.45 | 64.68 |
[10/1010] 	| 30.65 | 64.44 | 28.87 | 60.71 |
[11/1010] 	| 32.05 | 65.58 | 30.26 | 66.57 |
[12/1010] 	| 32.61 | 66.88 | 32.04 | 65.87 |
[13/1010] 	| 33.82 | 67.83 | 31.35 | 62.70 |
[14/1010] 	| 34.58 | 68.21 | 36.01 | 67.26 |
