Parameters: 21,070,385
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[1/1010] 	| 13.06 | 38.29 | 13.69 | 40.87 |
[2/1010] 	| 15.74 | 43.24 | 22.52 | 50.79 |
[3/1010] 	| 20.56 | 52.08 | 26.19 | 57.64 |
[4/1010] 	| 24.30 | 58.13 | 27.28 | 62.00 |
[5/1010] 	| 25.56 | 60.25 | 28.27 | 63.39 |
[6/1010] 	| 27.67 | 61.47 | 27.98 | 65.48 |
[7/1010] 	| 29.03 | 63.58 | 30.06 | 65.48 |
[8/1010] 	| 30.04 | 64.45 | 32.74 | 66.67 |
[9/1010] 	| 30.29 | 64.52 | 32.54 | 67.26 |
[10/1010] 	| 31.82 | 66.17 | 31.25 | 64.78 |
[11/1010] 	| 31.85 | 65.56 | 34.03 | 67.76 |
[12/1010] 	| 32.81 | 67.08 | 33.33 | 67.76 |
[13/1010] 	| 34.02 | 67.98 | 35.02 | 68.25 |
[14/1010] 	| 33.84 | 68.12 | 34.62 | 69.74 |
[15/1010] 	| 35.22 | 69.29 | 34.42 | 70.14 |
[16/1010] 	| 35.93 | 69.87 | 34.52 | 71.53 |
[17/1010] 	| 36.72 | 70.69 | 37.40 | 70.14 |
[18/1010] 	| 36.28 | 69.44 | 36.90 | 71.13 |
[19/1010] 	| 36.71 | 70.32 | 37.40 | 72.72 |
[20/1010] 	| 36.98 | 71.05 | 36.21 | 70.63 |
[21/1010] 	| 37.06 | 71.59 | 38.00 | 72.02 |
[22/1010] 	| 38.53 | 71.80 | 37.80 | 71.33 |
[23/1010] 	| 38.06 | 71.92 | 37.60 | 73.51 |
[24/1010] 	| 39.46 | 72.31 | 37.20 | 72.52 |
[25/1010] 	| 38.69 | 72.25 | 38.29 | 71.03 |
[26/1010] 	| 38.79 | 72.94 | 40.18 | 70.44 |
[27/1010] 	| 39.55 | 73.31 | 40.87 | 74.40 |
[28/1010] 	| 40.35 | 73.21 | 37.50 | 71.83 |
