Parameters: 14,139,050
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[1/1010] 	| 13.58 | 38.52 | 18.85 | 43.65 |
[2/1010] 	| 23.41 | 55.18 | 29.86 | 63.49 |
[3/1010] 	| 28.30 | 61.41 | 31.55 | 64.48 |
[4/1010] 	| 30.52 | 65.68 | 32.74 | 65.87 |
[5/1010] 	| 32.20 | 66.34 | 30.46 | 65.67 |
[6/1010] 	| 33.31 | 67.94 | 37.20 | 71.83 |
[7/1010] 	| 33.70 | 68.65 | 35.12 | 68.55 |
[8/1010] 	| 33.96 | 69.01 | 37.80 | 70.63 |
[9/1010] 	| 35.03 | 69.85 | 34.42 | 67.36 |
[10/1010] 	| 35.68 | 69.78 | 33.73 | 70.34 |
[11/1010] 	| 36.12 | 70.75 | 38.69 | 71.13 |
[12/1010] 	| 38.46 | 72.00 | 35.91 | 69.84 |
[13/1010] 	| 39.71 | 72.84 | 40.77 | 74.60 |
[14/1010] 	| 40.73 | 73.31 | 44.15 | 71.92 |
[15/1010] 	| 40.44 | 74.00 | 40.67 | 74.21 |
[16/1010] 	| 40.78 | 74.14 | 41.67 | 74.31 |
[17/1010] 	| 42.12 | 74.88 | 45.93 | 74.80 |
[18/1010] 	| 43.17 | 74.98 | 44.35 | 73.51 |
[19/1010] 	| 42.55 | 75.68 | 40.67 | 73.21 |
[20/1010] 	| 44.07 | 76.43 | 43.85 | 75.30 |
[21/1010] 	| 44.42 | 76.79 | 45.44 | 75.30 |
[22/1010] 	| 45.97 | 77.40 | 45.34 | 78.77 |
[23/1010] 	| 46.46 | 77.45 | 44.94 | 75.30 |
[24/1010] 	| 46.34 | 78.04 | 46.53 | 75.60 |
[25/1010] 	| 46.70 | 78.18 | 46.73 | 76.79 |
[26/1010] 	| 47.83 | 79.42 | 49.50 | 79.96 |
[27/1010] 	| 48.65 | 79.28 | 48.91 | 77.58 |
[28/1010] 	| 48.43 | 79.60 | 46.13 | 77.88 |
[29/1010] 	| 50.12 | 80.60 | 48.51 | 78.08 |
[30/1010] 	| 50.43 | 80.84 | 48.61 | 80.95 |
[31/1010] 	| 50.30 | 81.26 | 49.31 | 80.85 |
[32/1010] 	| 50.62 | 81.53 | 48.12 | 77.48 |
[33/1010] 	| 50.79 | 81.41 | 50.00 | 79.27 |
[34/1010] 	| 52.11 | 82.03 | 49.80 | 81.85 |
[35/1010] 	| 52.34 | 82.70 | 49.60 | 82.64 |
[36/1010] 	| 52.97 | 82.46 | 49.80 | 81.55 |
[37/1010] 	| 53.89 | 83.44 | 50.89 | 79.17 |
