Parameters: 2,566,666
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[1/610] 	| 21.92 | 50.08 | 29.46 | 60.62 |
[2/610] 	| 33.29 | 67.44 | 40.08 | 71.83 |
[3/610] 	| 39.21 | 72.04 | 42.96 | 74.40 |
[4/610] 	| 44.45 | 75.52 | 48.02 | 77.68 |
[5/610] 	| 47.83 | 78.30 | 51.09 | 80.46 |
[6/610] 	| 52.32 | 81.14 | 52.68 | 82.64 |
[7/610] 	| 54.38 | 82.97 | 56.25 | 85.71 |
[8/610] 	| 57.64 | 85.10 | 57.54 | 86.01 |
[9/610] 	| 60.08 | 86.24 | 58.33 | 84.62 |
[10/610] 	| 62.51 | 87.26 | 61.21 | 88.00 |
[11/610] 	| 64.16 | 88.60 | 61.61 | 87.60 |
[12/610] 	| 65.91 | 90.01 | 62.40 | 87.90 |
[13/610] 	| 68.08 | 90.29 | 65.67 | 90.48 |
[14/610] 	| 69.27 | 91.54 | 65.58 | 88.79 |
[15/610] 	| 70.31 | 91.87 | 66.87 | 89.19 |
[16/610] 	| 71.99 | 92.43 | 67.36 | 89.88 |
[17/610] 	| 72.39 | 92.85 | 66.96 | 89.88 |
[18/610] 	| 73.91 | 93.18 | 67.16 | 88.29 |
[19/610] 	| 75.38 | 94.14 | 66.77 | 91.17 |
[20/610] 	| 75.36 | 93.91 | 67.26 | 89.88 |
[21/610] 	| 75.60 | 94.04 | 65.77 | 90.58 |
[22/610] 	| 76.87 | 94.86 | 63.89 | 87.20 |
[23/610] 	| 77.79 | 94.80 | 68.45 | 91.57 |
[24/610] 	| 78.26 | 95.17 | 67.66 | 90.58 |
[25/610] 	| 79.21 | 95.43 | 68.95 | 91.77 |
[26/610] 	| 79.55 | 95.99 | 69.35 | 91.07 |
[27/610] 	| 80.24 | 95.96 | 70.73 | 91.37 |
[28/610] 	| 81.19 | 96.26 | 72.02 | 92.16 |
[29/610] 	| 80.76 | 96.42 | 72.82 | 91.87 |
